code,name,ccy,entry_date,exit_date,entry_px_avg,exit_px_avg,qty,n_fills,hold_days,ret_pct
A415920,PLUS 글로벌희토류&전략자원생산기업,KRW,2026-01-19,2026-02-20,9145.42,8772.5,1200.0,5,32,-4.08
A0080G0,KODEX 방산TOP10,KRW,2026-01-19,2026-01-30,13095.0,12750.0,500.0,2,11,-2.63
A144600,KODEX 은선물(H),KRW,2026-01-19,2026-03-06,15651.43,13765.0,700.0,6,46,-12.05
A071970,HD현대마린엔진,KRW,2026-01-19,2026-01-30,95500.0,90680.0,100.0,3,11,-5.05
A089890,코세스,KRW,2026-01-21,2026-02-24,27808.16,25190.28,1863.0,12,34,-9.41
A095610,테스,KRW,2026-01-21,2026-01-23,50900.0,47750.0,200.0,2,2,-6.19
A354320,알멕,KRW,2026-01-21,2026-06-05,61675.54,60614.39,973.0,12,135,-1.72
ONDS.OQ,온다스,USD,2026-01-23,2026-06-09,13.92,10.86,500.0,4,137,-21.97
LUNR.OQ,인튜이티브 머신스,USD,2026-01-23,2026-02-06,20.6,16.52,500.0,4,14,-19.82
7181.JP,간포생명보험,JPY,2026-01-23,2026-03-27,4919.0,4881.0,100.0,2,63,-0.77
RKLB.OQ,로켓 랩,USD,2026-01-23,2026-02-06,89.04,72.56,79.0,3,14,-18.51
RCAT.OQ,레드 캣 홀딩스,USD,2026-01-23,2026-06-30,15.88,12.12,10.0,3,158,-23.67
A044490,태웅,KRW,2026-01-23,2026-01-30,35020.0,32500.0,500.0,4,7,-7.2
A138540,TIGER 현대차그룹플러스,KRW,2026-01-26,2026-01-28,63000.0,59190.0,200.0,3,2,-6.05
A474170,루미르,KRW,2026-01-27,2026-01-30,14520.0,14040.0,1000.0,2,3,-3.31
A469070,RISE AI&로봇,KRW,2026-01-27,2026-02-24,18443.33,16910.0,300.0,3,28,-8.31
AMAT.OQ,어플라이드 머티어리얼즈,USD,2026-01-29,2026-03-30,333.84,311.21,30.0,6,60,-6.78
A388720,유일로보틱스,KRW,2026-01-29,2026-02-12,139700.0,121400.0,20.0,3,14,-13.1
ASML.OQ,ASML 홀딩(ADR),USD,2026-01-29,2026-02-05,1450.37,1434.73,6.0,3,7,-1.08
LRCX.OQ,램 리서치,USD,2026-01-29,2026-03-30,233.95,216.48,18.0,7,60,-7.47
A009470,삼화전기,KRW,2026-01-29,2026-02-10,50845.05,50597.03,1010.0,9,12,-0.49
A058610,에스피지,KRW,2026-01-30,2026-02-12,155190.91,147509.09,11.0,4,13,-4.95
A126340,비나텍,KRW,2026-01-30,2026-04-13,105098.44,104628.4,831.0,13,73,-0.45
A389500,에스비비테크,KRW,2026-01-30,2026-02-12,78000.0,65950.0,10.0,3,13,-15.45
A138540,TIGER 현대차그룹플러스,KRW,2026-01-30,2026-02-09,57500.0,55980.0,300.0,2,10,-2.64
A298040,효성중공업,KRW,2026-02-03,2026-02-09,2476000.0,2346600.0,5.0,3,6,-5.23
A0000J0,PLUS 한화그룹주,KRW,2026-02-06,2026-02-09,35495.0,35145.0,500.0,2,3,-0.99
A001430,세아베스틸지주,KRW,2026-02-06,2026-02-10,86900.0,79000.0,100.0,2,4,-9.09
A469170,ACE 포스코그룹포커스,KRW,2026-02-09,2026-02-12,7350.0,7136.0,3000.0,3,3,-2.91
HL.NY,헤클라 마이닝,USD,2026-02-10,2026-03-16,22.76,21.14,1200.0,6,34,-7.13
A264450,유비쿼스,KRW,2026-02-10,2026-02-23,12568.75,12420.0,800.0,6,13,-1.18
A0154F0,WON 초대형IB&금융지주,KRW,2026-02-11,2026-03-10,13929.65,13736.99,2648.0,8,27,-1.38
A474170,루미르,KRW,2026-02-11,2026-03-06,20276.0,18112.04,2500.0,10,23,-10.67
A009470,삼화전기,KRW,2026-02-11,2026-03-06,53600.0,41725.0,400.0,3,23,-22.15
A214430,아이쓰리시스템,KRW,2026-02-11,2026-02-12,116100.0,114400.0,100.0,2,1,-1.46
A001430,세아베스틸지주,KRW,2026-02-11,2026-03-06,85300.0,58600.0,200.0,2,23,-31.3
A108490,로보티즈,KRW,2026-02-12,2026-03-06,288000.0,217000.0,50.0,2,22,-24.65
A232140,와이씨,KRW,2026-02-12,2026-03-06,22850.0,19130.0,500.0,2,22,-16.28
IPGP.OQ,IPG 포토닉스,USD,2026-02-16,2026-03-03,140.2,128.0,29.0,3,15,-8.7
A157500,TIGER 증권,KRW,2026-02-20,2026-04-01,19313.28,17454.0,2221.0,11,40,-9.63
A081000,일진다이아,KRW,2026-02-23,2026-02-25,15507.06,15500.0,1700.0,6,2,-0.05
A498860,RISE 코리아금융고배당,KRW,2026-02-24,2026-03-06,23027.86,21059.22,700.0,4,10,-8.55
A001720,신영증권,KRW,2026-02-25,2026-04-23,224470.59,201441.18,170.0,5,57,-10.26
A034830,한국토지신탁,KRW,2026-02-27,2026-03-04,1732.0,1635.0,5000.0,4,5,-5.6
A123890,한국자산신탁,KRW,2026-02-27,2026-03-06,3020.0,2775.0,3000.0,3,7,-8.11
A053610,프로텍,KRW,2026-02-27,2026-03-06,60000.0,49150.0,200.0,2,7,-18.08
A233160,TIGER 코스닥150 레버리지,KRW,2026-03-03,2026-03-10,22043.33,18675.0,3000.0,5,7,-15.28
A123320,TIGER 레버리지,KRW,2026-03-03,2026-03-09,85971.32,85836.4,2133.0,20,6,-0.16
A449450,PLUS K방산,KRW,2026-03-05,2026-03-24,73300.0,72090.0,300.0,2,19,-1.65
A396500,TIGER 반도체TOP10,KRW,2026-03-09,2026-03-25,33810.0,32886.88,4000.0,10,16,-2.73
A496080,TIGER 코리아밸류업,KRW,2026-03-09,2026-03-25,25257.5,24712.5,2000.0,4,16,-2.16
A079550,LIG디펜스앤에어로스페이스,KRW,2026-03-10,2026-03-24,839000.0,685000.0,10.0,2,14,-18.36
A232080,TIGER 코스닥150,KRW,2026-03-10,2026-03-25,20691.67,20205.0,3000.0,5,15,-2.35
A233160,TIGER 코스닥150 레버리지,KRW,2026-03-10,2026-03-11,19850.0,18750.0,1000.0,2,1,-5.54
A139250,TIGER 200 에너지화학,KRW,2026-03-13,2026-03-13,17605.0,17605.0,2152.0,2,0,0.0
A243890,TIGER 200에너지화학레버리지,KRW,2026-03-24,2026-03-31,9575.0,8290.0,2000.0,3,7,-13.42
A139250,TIGER 200 에너지화학,KRW,2026-03-24,2026-03-30,17255.0,16935.0,3000.0,4,6,-1.85
A097230,HJ중공업,KRW,2026-03-30,2026-04-06,26850.0,23525.0,1000.0,4,7,-12.38
VLO.NY,발레로 에너지,USD,2026-03-30,2026-05-12,248.76,235.38,31.0,4,43,-5.38
A0154F0,WON 초대형IB&금융지주,KRW,2026-03-30,2026-04-02,13710.0,13025.0,1000.0,2,3,-5.0
A006800,미래에셋증권,KRW,2026-03-30,2026-04-08,68400.0,62800.0,500.0,3,9,-8.19
A347700,스피어,KRW,2026-03-30,2026-05-11,47509.38,42240.62,1600.0,12,42,-11.09
A001120,LX인터내셔널,KRW,2026-03-31,2026-04-10,49916.67,46300.0,900.0,4,10,-7.25
A100840,SNT에너지,KRW,2026-03-31,2026-05-18,53200.0,50500.0,1200.0,6,48,-5.08
A402340,SK스퀘어,KRW,2026-04-03,2026-04-06,491500.0,463000.0,100.0,3,3,-5.8
A042700,한미반도체,KRW,2026-04-03,2026-04-06,264500.0,254000.0,200.0,2,3,-3.97
A402340,SK스퀘어,KRW,2026-04-06,2026-04-07,510000.0,479500.0,100.0,2,1,-5.98
A449450,PLUS K방산,KRW,2026-04-06,2026-04-08,75805.0,75740.0,300.0,4,2,-0.09
A010820,퍼스텍,KRW,2026-04-15,2026-07-22,11610.0,5540.0,2000.0,2,98,-52.28
A0091P0,TIGER 코리아원자력,KRW,2026-04-20,2026-05-19,25200.0,23632.5,2000.0,3,29,-6.22
OKLO.NY,오클로,USD,2026-04-27,2026-05-12,79.17,72.33,70.0,3,15,-8.64
A200710,에이디테크놀로지,KRW,2026-05-08,2026-05-11,55000.0,53500.0,400.0,2,3,-2.73
A028260,삼성물산,KRW,2026-05-11,2026-05-11,385500.0,375500.0,100.0,2,0,-2.59
AXTI.OQ,AXT,USD,2026-05-12,2026-06-30,133.13,95.46,114.0,6,49,-28.29
285A.JP,키오시아홀딩스,JPY,2026-05-12,2026-05-19,48343.33,42465.0,300.0,6,7,-12.16
A005935,삼성전자우,KRW,2026-05-13,2026-05-15,194033.33,180266.67,300.0,4,2,-7.1
DOW.NY,다우,USD,2026-05-13,2026-05-28,37.88,35.74,400.0,3,15,-5.65
